gvkey,datadate,fyear,conm,FYR,AT,COGS,LT,NIADJ,OIADP,SALE,PERMNO
001690,19800930,1980,APPLE INC,9,65.3500,65.9520,39.4010,11.6980,23.5860,117.1260,14593
001690,19810930,1981,APPLE INC,9,254.8380,171.7710,77.4510,39.4200,66.1430,334.7830,14593
001690,19820930,1982,APPLE INC,9,357.7870,271.4450,100.6950,61.3060,102.2090,583.0610,14593
001690,19830930,1983,APPLE INC,9,556.5790,483.3250,178.6780,76.7140,129.6390,982.7690,14593
001690,19840930,1984,APPLE INC,9,788.7860,840.6230,324.2210,64.0550,91.4480,1515.8760,14593
001690,19850930,1985,APPLE INC,9,936.1770,1076.0230,385.6900,61.2230,147.2250,1918.2800,14593
001690,19860930,1986,APPLE INC,9,1160.1280,840.0370,466.0410,153.9630,273.5300,1901.8970,14593
001690,19870930,1987,APPLE INC,9,1477.9310,1225.7040,641.4430,217.4960,371.4380,2661.0680,14593
001690,19880930,1988,APPLE INC,9,2082.0860,1913.2020,1078.6610,400.2580,620.3380,4071.3730,14593
001690,19890930,1989,APPLE INC,9,2743.8990,2570.0230,1258.1530,454.0330,634.3130,5284.0130,14593
001690,19900930,1990,APPLE INC,9,2975.7070,2403.5370,1528.8870,474.8950,745.6850,5558.4350,14593
001690,19910930,1991,APPLE INC,9,3493.5970,3109.6850,1726.9210,309.8410,671.3920,6308.8490,14593
001690,19920930,1992,APPLE INC,9,4223.6930,3774.1550,2036.3230,530.3730,805.8080,7086.5420,14593
001690,19930930,1993,APPLE INC,9,5171.4120,5082.7210,3145.0340,86.5890,431.1940,7976.9540,14593
001690,19940930,1994,APPLE INC,9,5302.7460,6676.9570,2919.4450,310.1780,395.4190,9188.7480,14593
001690,19950930,1995,APPLE INC,9,6231.0000,8077.0000,3330.0000,424.0000,661.0000,11062.0000,14593
001690,19960930,1996,APPLE INC,9,5364.0000,8709.0000,3306.0000,-816.0000,-1204.0000,9833.0000,14593
001690,19970930,1997,APPLE INC,9,4233.0000,5595.0000,3033.0000,-1045.0000,-403.0000,7081.0000,14593
001690,19980930,1998,APPLE INC,9,4289.0000,4351.0000,2647.0000,309.0000,268.0000,5941.0000,14593
001690,19990930,1999,APPLE INC,9,5161.0000,4353.0000,2057.0000,601.0000,386.0000,6134.0000,14593
001690,20000930,2000,APPLE INC,9,6803.0000,5733.0000,2696.0000,786.0000,620.0000,7983.0000,14593
001690,20010930,2001,APPLE INC,9,6021.0000,4026.0000,2101.0000,-25.0000,-333.0000,5363.0000,14593
001690,20020930,2002,APPLE INC,9,6298.0000,4021.0000,2203.0000,65.0000,46.0000,5742.0000,14593
001690,20030930,2003,APPLE INC,9,6815.0000,4387.2000,2592.0000,69.0000,25.0000,6207.0000,14593
001690,20040930,2004,APPLE INC,9,8050.0000,5870.5000,2974.0000,276.0000,349.0000,8279.0000,14593
001690,20050930,2005,APPLE INC,9,11551.0000,9722.3000,4085.0000,1335.0000,1650.0000,13931.0000,14593
001690,20060930,2006,APPLE INC,9,17205.0000,13507.2000,7221.0000,1989.0000,2453.0000,19315.0000,14593
001690,20070930,2007,APPLE INC,9,25347.0000,15555.0000,10815.0000,3496.0000,4409.0000,24006.0000,14593
001690,20080930,2008,APPLE INC,9,39572.0000,20898.0000,18542.0000,4834.0000,6275.0000,32479.0000,14593
001690,20090930,2009,APPLE INC,9,47501.0000,24999.0000,15861.0000,8235.0000,11740.0000,42905.0000,14593
001690,20100930,2010,APPLE INC,9,75183.0000,38609.0000,27392.0000,14013.0000,18385.0000,65225.0000,14593
001690,20110930,2011,APPLE INC,9,116371.0000,62609.0000,39756.0000,25922.0000,33790.0000,108249.0000,14593
001690,20120930,2012,APPLE INC,9,176064.0000,84641.0000,57854.0000,41733.0000,55241.0000,156508.0000,14593
006066,19501231,1950,INTL BUSINESS MACHINES CORP,12,300.0000,,,,56.9100,214.9000,12490
006066,19511231,1951,INTL BUSINESS MACHINES CORP,12,394.1000,,,,72.2000,266.8000,12490
006066,19521231,1952,INTL BUSINESS MACHINES CORP,12,458.0000,,,,73.9300,333.7000,12490
006066,19531231,1953,INTL BUSINESS MACHINES CORP,12,542.4000,,,,87.5200,410.0000,12490
006066,19541231,1954,INTL BUSINESS MACHINES CORP,12,714.5000,,415.7450,,132.3600,570.4000,12490
006066,19551231,1955,INTL BUSINESS MACHINES CORP,12,830.0000,,473.6650,,161.1300,696.3000,12490
006066,19561231,1956,INTL BUSINESS MACHINES CORP,12,789.0390,479.7260,457.3770,,148.0450,734.3400,12490
006066,19571231,1957,INTL BUSINESS MACHINES CORP,12,1153.9690,666.3800,531.4520,,188.2070,1000.4320,12490
006066,19581231,1958,INTL BUSINESS MACHINES CORP,12,1340.3990,739.2760,620.1780,,254.9180,1171.7880,12490
006066,19591231,1959,INTL BUSINESS MACHINES CORP,12,1466.1210,813.7150,622.6010,,291.4800,1309.7880,12490
006066,19601231,1960,INTL BUSINESS MACHINES CORP,12,1624.4620,889.2560,651.6720,,328.7570,1436.0530,12490
006066,19611231,1961,INTL BUSINESS MACHINES CORP,12,1879.5260,1041.4620,694.3360,,403.6540,1694.2960,12490
006066,19621231,1962,INTL BUSINESS MACHINES CORP,12,2112.3010,570.3490,731.7000,,461.9440,1925.2210,12490
006066,19631231,1963,INTL BUSINESS MACHINES CORP,12,2373.8570,535.4230,782.1190,,544.4500,2059.6090,12490
006066,19641231,1964,INTL BUSINESS MACHINES CORP,12,3309.1520,749.2750,1055.0720,,881.0240,3239.3600,12490
006066,19651231,1965,INTL BUSINESS MACHINES CORP,12,3744.9170,839.7450,1166.7710,,942.4320,3572.8240,12490
006066,19661231,1966,INTL BUSINESS MACHINES CORP,12,4660.7770,1115.7370,1338.1490,526.1300,1042.7310,4247.7030,12490
006066,19671231,1967,INTL BUSINESS MACHINES CORP,12,5598.6680,1312.8540,1767.0670,651.5000,1299.6830,5345.2890,12490
006066,19681231,1968,INTL BUSINESS MACHINES CORP,12,6743.4300,1627.7710,2174.2910,871.4980,1847.2130,6888.5470,12490
006066,19691231,1969,INTL BUSINESS MACHINES CORP,12,7389.9570,1683.9740,2112.9670,933.8730,1918.7930,7197.2930,12490
006066,19701231,1970,INTL BUSINESS MACHINES CORP,12,8539.0470,1977.3690,2591.9090,1017.5210,1881.3650,7503.9570,12490
006066,19711231,1971,INTL BUSINESS MACHINES CORP,12,9576.2190,2238.8650,2933.8370,1078.8470,1974.0280,8273.6020,12490
006066,19721231,1972,INTL BUSINESS MACHINES CORP,12,10792.3980,2461.5010,3226.5080,1279.2680,2312.3820,9532.5900,12490
006066,19731231,1973,INTL BUSINESS MACHINES CORP,12,12289.5000,2733.6340,3477.4650,1575.4670,2773.4160,10993.1990,12490
