PERMNO,PERMCO,DATE,PRC,VOL,RET,SHROUT,RETX
12490,20990,20111230,183.88000,1034552,-0.021915,1178618,-0.021915
12490,20990,20111130,188.00000,970323,0.022315,1178618,0.018253
12490,20990,20111031,184.63000,1444888,0.055813,1178618,0.055813
12490,20990,20110930,174.87000,1379477,0.017218,1194278,0.017218
12490,20990,20110831,171.91000,1950862,-0.050536,1194278,-0.054660
12490,20990,20110729,181.85001,1136104,0.060041,1194278,0.060041
12490,20990,20110630,171.55000,1054599,0.015509,1211200,0.015509
12490,20990,20110531,168.92999,1108756,-0.005276,1211200,-0.009673
12490,20990,20110429,170.58000,1008491,0.046054,1211200,0.046054
12490,20990,20110331,163.07001,1297991,0.007351,1219536,0.007351
12490,20990,20110228,161.88000,891022,0.003272,1219536,-0.000741
12490,20990,20110131,162.00000,1188537,0.103843,1242361,0.103843
12490,20990,20101231,146.75999,934126,0.037466,1242361,0.037466
12490,20990,20101130,141.46001,1041291,-0.010376,1242361,-0.014903
12490,20990,20101029,143.60001,1373597,0.070523,1242361,0.070523
12490,20990,20100930,134.14000,1161902,0.089418,1242361,0.089418
12490,20990,20100831,123.13000,1174205,-0.035981,1261278,-0.041044
12490,20990,20100730,128.39999,1440941,0.039844,1261278,0.039844
12490,20990,20100630,123.48000,1620390,-0.014210,1282348,-0.014210
12490,20990,20100528,125.26000,1884720,-0.023953,1282348,-0.028992
12490,20990,20100430,129.00000,1464423,0.005848,1282348,0.005848
12490,20990,20100331,128.25000,1400578,0.008572,1299003,0.008572
12490,20990,20100226,127.16000,1132326,0.043468,1299003,0.038974
12490,20990,20100129,122.39000,1561372,-0.065011,1313603,-0.065011
12490,20990,20091231,130.89999,1246612,0.036011,1313603,0.036011
12490,20990,20091130,126.35000,1178212,0.052152,1313603,0.047591
12490,20990,20091030,120.61000,1837168,0.008361,1313603,0.008361
12490,20990,20090930,119.61000,1315370,0.013215,1310884,0.013215
12490,20990,20090831,118.05000,1125574,0.005681,1310884,0.001018
12490,20990,20090731,117.93000,1762527,0.129381,1310884,0.129381
12490,20990,20090630,104.42000,1605214,-0.017501,1320000,-0.017501
12490,20990,20090529,106.28000,1531058,0.035074,1321397,0.029745
12490,20990,20090430,103.21000,2137517,0.065229,1321397,0.065229
12490,20990,20090331,96.89000,2861506,0.052809,1341678,0.052809
12490,20990,20090227,92.03000,2230417,0.009602,1341678,0.004146
12490,20990,20090130,91.65000,2090213,0.088997,1340000,0.088997
12490,20990,20081231,84.16000,1890815,0.031373,1343458,0.031373
12490,20990,20081128,81.60000,2185038,-0.116919,1343458,-0.122298
12490,20990,20081031,92.97000,3150692,-0.205113,1343458,-0.205113
12490,20990,20080930,116.96000,2184843,-0.039185,1354840,-0.039185
12490,20990,20080829,121.73000,1370374,-0.044929,1354840,-0.048836
12490,20990,20080731,127.98000,2008968,0.079727,1354840,0.079727
12490,20990,20080630,118.53000,1523498,-0.084215,1373479,-0.084215
12490,20990,20080530,129.42999,1595242,0.076471,1373479,0.072328
12490,20990,20080430,120.70000,1921528,0.048289,1373479,0.048289
12490,20990,20080331,115.14000,1799561,0.011242,1384331,0.011242
12490,20990,20080229,113.86000,1682894,0.066754,1385200,0.063019
12490,20990,20080131,107.11000,2476835,-0.009158,1377955,-0.009158
12490,20990,20071231,108.10000,1341877,0.027762,1377955,0.027762
12490,20990,20071130,105.18000,2012356,-0.090768,1377955,-0.094213
12490,20990,20071031,116.12000,1716686,-0.014261,1377955,-0.014261
12490,20990,20070928,117.80000,1322426,0.009512,1360407,0.009512
12490,20990,20070831,116.69000,2028032,0.058202,1360407,0.054587
12490,20990,20070731,110.65000,2127592,0.051306,1360407,0.051306
12490,20990,20070629,105.25000,1696650,-0.012664,1484827,-0.012664
12490,20990,20070531,106.60000,1466071,0.046864,1484827,0.042951
12490,20990,20070430,102.21000,1668675,0.084341,1484827,0.084341
12490,20990,20070330,94.26000,1634895,0.014203,1505529,0.014203
12490,20990,20070228,92.94000,1257950,-0.059607,1505529,-0.062632
12490,20990,20070131,99.15000,1928647,0.020587,1506352,0.020587
12490,20990,20061229,97.15000,1045510,0.056897,1506352,0.056897
12490,20990,20061130,91.92000,1044366,-0.001191,1506352,-0.004441
12490,20990,20061031,92.33000,1705206,0.126800,1506352,0.126800
12490,20990,20060929,81.94000,1030279,0.011980,1521839,0.011980
12490,20990,20060831,80.97000,1008665,0.049864,1521839,0.045989
12490,20990,20060731,77.41000,1372659,0.007680,1521839,0.007680
12490,20990,20060630,76.82000,1395323,-0.038548,1550395,-0.038548
12490,20990,20060531,79.90000,1132364,-0.025990,1550395,-0.029633
12490,20990,20060428,82.34000,1140213,-0.001576,1550395,-0.001576
12490,20990,20060331,82.47000,1118107,0.027792,1567313,0.027792
12490,20990,20060228,80.24000,1110585,-0.010578,1570000,-0.013038
12490,20990,20060131,81.30000,1465532,-0.010949,1570000,-0.010949
12490,20990,20051230,82.20000,1203340,-0.075366,1579517,-0.075366
12490,20990,20051130,88.90000,1108741,0.088178,1579517,0.085735
12490,20990,20051031,81.88000,1413377,0.020693,1579517,0.020693
12490,20990,20050930,80.22000,1156901,-0.004962,1595791,-0.004962
12490,20990,20050831,80.62000,1050638,-0.031632,1595791,-0.034028
12490,20990,20050729,83.46000,1571802,0.124798,1595791,0.124798
12490,20990,20050630,74.20000,1377932,-0.017869,1613321,-0.017869
12490,20990,20050531,75.55000,1389057,-0.008248,1613321,-0.010867
12490,20990,20050429,76.38000,2175501,-0.164150,1613321,-0.164150
12490,20990,20050331,91.38000,1075088,-0.012962,1632629,-0.012962
12490,20990,20050228,92.58000,802581,-0.007065,1632629,-0.008992
12490,20990,20050131,93.42000,1148066,-0.052343,1664697,-0.052343
12490,20990,20041231,98.58000,1082497,0.046053,1664697,0.046053
12490,20990,20041130,94.24000,1149965,0.052033,1664697,0.050028
12490,20990,20041029,89.75000,1186598,0.046769,1664697,0.046769
12490,20990,20040930,85.74000,938557,0.012398,1675192,0.012398
12490,20990,20040831,84.69000,917984,-0.025267,1675192,-0.027334
12490,20990,20040730,87.07000,1211733,-0.012252,1675192,-0.012252
12490,20990,20040630,88.15000,921248,-0.004967,1685371,-0.004967
12490,20990,20040528,88.59000,1047088,0.006805,1685371,0.004764
12490,20990,20040430,88.17000,1106471,-0.039961,1699416,-0.039961
12490,20990,20040331,91.84000,1246275,-0.048290,1699416,-0.048290
12490,20990,20040227,96.50000,976373,-0.025899,1720423,-0.027512
12490,20990,20040130,99.23000,1394776,0.070673,1720423,0.070673
12490,20990,20031231,92.68000,1160672,0.023636,1720423,0.023636
12490,20990,20031128,90.54000,979976,0.013634,1720423,0.011846
12490,20990,20031031,89.48000,1560667,0.013019,1730181,0.013019
12490,20990,20030930,88.33000,1720752,0.077064,1730181,0.077064
12490,20990,20030829,82.01000,1138646,0.011323,1730181,0.009354
12490,20990,20030731,81.25000,1537447,-0.015152,1730000,-0.015152
12490,20990,20030630,82.50000,1876926,-0.062926,1728000,-0.062926
12490,20990,20030530,88.04000,1495874,0.038869,1728000,0.036985
12490,20990,20030430,84.90000,1779942,0.082494,1722600,0.082494
12490,20990,20030331,78.43000,1920509,0.006158,1722600,0.006158
12490,20990,20030228,77.95000,1456822,-0.001279,1690088,-0.003197
12490,20990,20030131,78.20000,1941591,0.009032,1690088,0.009032
12490,20990,20021231,77.50000,1516404,-0.108375,1690088,-0.108375
12490,20990,20021129,86.92000,1844365,0.102990,1690088,0.101089
12490,20990,20021031,78.94000,2859479,0.353799,1694323,0.353799
12490,20990,20020930,58.31000,1856629,-0.226453,1694323,-0.226453
12490,20990,20020830,75.38000,1661002,0.072869,1694323,0.070739
12490,20990,20020731,70.40000,2462339,-0.022222,1711889,-0.022222
